,model_class,model,test_cohort,ci,dataset
4,DeepSurv,result_intersection_cv_common_genes_and_pData,CamCap_2016_Ross_Adams,0.7165087956698241,pData_Intersection_Imputed
5,DeepSurv,result_intersection_cv_common_genes_and_pData,CancerMap_2017_Luca,0.6712876566249,pData_Intersection_Imputed
6,DeepSurv,result_intersection_cv_common_genes_and_pData,DKFZ_2018_Gerhauser,0.7720465890183028,pData_Intersection_Imputed
7,DeepSurv,result_intersection_cv_common_genes_and_pData,MSKCC_2010_Taylor,0.7127329192546584,pData_Intersection_Imputed
8,DeepSurv,result_intersection_cv_common_genes_and_pData,Stockholm_2016_Ross_Adams,0.6918663516706041,pData_Intersection_Imputed
0,DeepSurv,result_intersection_cv_common_genes_only,Atlanta_2014_Long,0.6349710982658959,Intersection_Imputed
1,DeepSurv,result_intersection_cv_common_genes_only,Belfast_2018_Jain,0.6133709222714459,Intersection_Imputed
2,DeepSurv,result_intersection_cv_common_genes_only,CPC_GENE_2017_Fraser,0.7027027027027027,Intersection_Imputed
3,DeepSurv,result_intersection_cv_common_genes_only,CPGEA_2020_Li,0.6573628488931665,Intersection_Imputed
4,DeepSurv,result_intersection_cv_common_genes_only,CamCap_2016_Ross_Adams,0.7280108254397835,Intersection_Imputed
5,DeepSurv,result_intersection_cv_common_genes_only,CancerMap_2017_Luca,0.6344974673420422,Intersection_Imputed
6,DeepSurv,result_intersection_cv_common_genes_only,DKFZ_2018_Gerhauser,0.8078202995008319,Intersection_Imputed
7,DeepSurv,result_intersection_cv_common_genes_only,MSKCC_2010_Taylor,0.7115683229813664,Intersection_Imputed
8,DeepSurv,result_intersection_cv_common_genes_only,Stockholm_2016_Ross_Adams,0.6884913938575767,Intersection_Imputed
0,DeepSurv,result_intersection_cv_intersect_and_pData,Atlanta_2014_Long,0.6705202312138728,pData_Intersection
1,DeepSurv,result_intersection_cv_intersect_and_pData,Belfast_2018_Jain,0.616794200563834,pData_Intersection
2,DeepSurv,result_intersection_cv_intersect_and_pData,CPC_GENE_2017_Fraser,0.6611226611226612,pData_Intersection
3,DeepSurv,result_intersection_cv_intersect_and_pData,CPGEA_2020_Li,0.6650625601539942,pData_Intersection
4,DeepSurv,result_intersection_cv_intersect_and_pData,CamCap_2016_Ross_Adams,0.7117726657645467,pData_Intersection
5,DeepSurv,result_intersection_cv_intersect_and_pData,CancerMap_2017_Luca,0.6768861636896828,pData_Intersection
6,DeepSurv,result_intersection_cv_intersect_and_pData,DKFZ_2018_Gerhauser,0.7703826955074875,pData_Intersection
7,DeepSurv,result_intersection_cv_intersect_and_pData,MSKCC_2010_Taylor,0.7581521739130435,pData_Intersection
8,DeepSurv,result_intersection_cv_intersect_and_pData,Stockholm_2016_Ross_Adams,0.6908538643266959,pData_Intersection
0,DeepSurv,result_intersection_cv_intersect_only,Atlanta_2014_Long,0.6494219653179191,Intersection
1,DeepSurv,result_intersection_cv_intersect_only,Belfast_2018_Jain,0.6320982682239227,Intersection
2,DeepSurv,result_intersection_cv_intersect_only,CPC_GENE_2017_Fraser,0.681912681912682,Intersection
3,DeepSurv,result_intersection_cv_intersect_only,CPGEA_2020_Li,0.6400384985563041,Intersection
4,DeepSurv,result_intersection_cv_intersect_only,CamCap_2016_Ross_Adams,0.7225981055480379,Intersection
5,DeepSurv,result_intersection_cv_intersect_only,CancerMap_2017_Luca,0.628632364702746,Intersection
6,DeepSurv,result_intersection_cv_intersect_only,DKFZ_2018_Gerhauser,0.7970049916805324,Intersection
7,DeepSurv,result_intersection_cv_intersect_only,MSKCC_2010_Taylor,0.6494565217391305,Intersection
8,DeepSurv,result_intersection_cv_intersect_only,Stockholm_2016_Ross_Adams,0.6662166722915963,Intersection
0,DeepSurv,result_intersection_cv_pData_only,Atlanta_2014_Long,0.6280346820809248,pData_Intersection
1,DeepSurv,result_intersection_cv_pData_only,Belfast_2018_Jain,0.5759665726943214,pData_Intersection
2,DeepSurv,result_intersection_cv_pData_only,CPC_GENE_2017_Fraser,0.632016632016632,pData_Intersection
3,DeepSurv,result_intersection_cv_pData_only,CPGEA_2020_Li,0.7285851780558229,pData_Intersection
4,DeepSurv,result_intersection_cv_pData_only,CamCap_2016_Ross_Adams,0.7117726657645467,pData_Intersection
5,DeepSurv,result_intersection_cv_pData_only,CancerMap_2017_Luca,0.667821914156225,pData_Intersection
6,DeepSurv,result_intersection_cv_pData_only,DKFZ_2018_Gerhauser,0.6697171381031614,pData_Intersection
7,DeepSurv,result_intersection_cv_pData_only,MSKCC_2010_Taylor,0.7208850931677019,pData_Intersection
8,DeepSurv,result_intersection_cv_pData_only,Stockholm_2016_Ross_Adams,0.7244346945663179,pData_Intersection
