"","testing_cohort","model","ci","dataset","model_class"
"49","Stockholm_2016_Ross_Adams","final_pData_inter",0.720890988862639,"pData_Intersection","CoxPH"
"50","CancerMap_2017_Luca","final_pData_inter",0.7406025059984,"pData_Intersection","CoxPH"
"51","Atlanta_2014_Long","final_pData_inter",0.710982658959538,"pData_Intersection","CoxPH"
"52","Belfast_2018_Jain","final_pData_inter",0.629379782521144,"pData_Intersection","CoxPH"
"53","CPGEA_2020_Li","final_pData_inter",0.709015078601219,"pData_Intersection","CoxPH"
"54","DKFZ_2018_Gerhauser","final_pData_inter",0.819467554076539,"pData_Intersection","CoxPH"
"28","CPC_GENE_2017_Fraser","final_inter",0.665280665280665,"Intersection","CoxPH"
"29","CPGEA_2020_Li","final_inter",0.687840872633943,"Intersection","CoxPH"
"30","MSKCC_2010_Taylor","final_inter",0.748835403726708,"Intersection","CoxPH"
"31","CancerMap_2017_Luca","final_inter",0.71820847773927,"Intersection","CoxPH"
"32","DKFZ_2018_Gerhauser","final_inter",0.817803660565724,"Intersection","CoxPH"
"33","Belfast_2018_Jain","final_inter",0.643777688280306,"Intersection","CoxPH"
"34","Atlanta_2014_Long","final_inter",0.706936416184971,"Intersection","CoxPH"
"35","CamCap_2016_Ross_Adams","final_inter",0.754397834912043,"Intersection","CoxPH"
"36","Stockholm_2016_Ross_Adams","final_inter",0.706041174485319,"Intersection","CoxPH"
"55","Belfast_2018_Jain","final_pData3",0.582360048328635,"pData","CoxPH"
"56","CancerMap_2017_Luca","final_pData3",0.673153825646494,"pData","CoxPH"
"57","CPGEA_2020_Li","final_pData3",0.722168752005133,"pData","CoxPH"
"58","DKFZ_2018_Gerhauser","final_pData3",0.839850249584027,"pData","CoxPH"
"59","CPC_GENE_2017_Fraser","final_pData3",0.607588357588358,"pData","CoxPH"
"60","CamCap_2016_Ross_Adams","final_pData3",0.678619756427605,"pData","CoxPH"
"61","Stockholm_2016_Ross_Adams","final_pData3",0.737597030037125,"pData","CoxPH"
"62","Atlanta_2014_Long","final_pData3",0.69364161849711,"pData","CoxPH"
"63","MSKCC_2010_Taylor","final_pData3",0.812111801242236,"pData","CoxPH"
